railtime_id,hafas_id,stop_area_names@nl,stop_area_names@fr,stop_area_names@en,dbpedia_uris,lon,lat
73,008728686,Ascq,Ascq,Ascq,http://live.dbpedia.org/resource/Ascq,3.159833,50.62193
88,,Amsterdam-Centraal Station,Amsterdam-Centraal Station,Amsterdam-Centraal Station,http://live.dbpedia.org/resource/Amsterdam-Centraal_Station,4.9005,52.378684
103,008728687,Baisieux,Baisieux,Baisieux,http://live.dbpedia.org/resource/Baisieux,3.234599,50.618426
113,,Ashford International,Ashford International,Ashford International,http://live.dbpedia.org/resource/Ashford_International,0.8762,51.143696
137,,Belval-Université,Belval-Université,Belval-Université,http://live.dbpedia.org/resource/Belval-Université,5.967722,49.494584
145,008200510,Bertrange-Strassen,Bertrange-Strassen,Bertrange-Strassen,http://live.dbpedia.org/resource/Bertrange-Strassen,6.060557,49.612969
156,008731896,Avignon TGV,Avignon TGV,Avignon TGV,http://live.dbpedia.org/resource/Avignon_TGV,4.786043,43.921952
159,,Bettembourg,Bettembourg,Bettembourg,http://live.dbpedia.org/resource/Bettembourg,6.101574,49.515938
240,008500010,Basel,Basel,Basel,http://live.dbpedia.org/resource/Basel,7.589547,47.547408
248,008200518,Capellen,Capellen,Capellen,http://live.dbpedia.org/resource/Capellen,5.982593,49.638312
271,008509000,Chur,Chur,Chur,http://live.dbpedia.org/resource/Chur,9.528494,46.853461
279,008200134,Clervaux,Clervaux,Clervaux,http://live.dbpedia.org/resource/Clervaux,6.024569,50.061605
293,008728105,Croix-l'Allumette,Croix-l'Allumette,Croix-l'Allumette,http://live.dbpedia.org/resource/Croix-l'Allumette,3.151137,50.686809
307,008728671,Croix-Wasquehal,Croix-Wasquehal,Croix-Wasquehal,http://live.dbpedia.org/resource/Croix-Wasquehal,3.13778,50.678557
321,008200133,Drauffelt,Drauffelt,Drauffelt,http://live.dbpedia.org/resource/Drauffelt,6.006514,50.014634
332,008400180,Dordrecht,Dordrecht,Dordrecht,http://live.dbpedia.org/resource/Dordrecht,4.668492,51.807535
341,008400280,Den Haag-Hollands Spoor,Den Haag-Hollands Spoor,Den Haag-Hollands Spoor,http://live.dbpedia.org/resource/Den_Haag-Hollands_Spoor,4.322612,52.070272
344,,Düsseldorf Hbf,Düsseldorf Hbf,Düsseldorf Hbf,http://live.dbpedia.org/resource/Düsseldorf_Hbf,6.794574,51.219933
349,008400219,Eijsden,Eijsden,Eijsden,http://live.dbpedia.org/resource/Eijsden,5.709915,50.771728
374,,Esch-sur-Alzette,Esch-sur-Alzette,Esch-sur-Alzette,http://live.dbpedia.org/resource/Esch-sur-Alzette,5.985182,49.494108
386,008200120,Ettelbruck,Ettelbruck,Ettelbruck,http://live.dbpedia.org/resource/Ettelbruck,6.108439,49.848686
426,008011068,Frankfurt (Main) Hbf,Frankfurt (Main) Hbf,Frankfurt (Main) Hbf,http://live.dbpedia.org/resource/Frankfurt_(Main)_Hbf,8.664019,50.107431
473,,Duisburg Hbf,Duisburg Hbf,Duisburg Hbf,http://live.dbpedia.org/resource/Duisburg_Hbf,6.776151,51.42976
544,008728606,Hellemmes,Hellemmes,Hellemmes,http://live.dbpedia.org/resource/Hellemmes,3.114814,50.622667
631,008200130,Kautenbach,Kautenbach,Kautenbach,http://live.dbpedia.org/resource/Kautenbach,6.024177,49.946664
641,008200520,Kleinbettingen,Kleinbettingen,Kleinbettingen,http://live.dbpedia.org/resource/Kleinbettingen,5.915849,49.64386
659,008015458,Köln Hbf,Köln Hbf,Köln Hbf,http://live.dbpedia.org/resource/Köln_Hbf,6.958937,50.943005
722,008728710,Lezennes,Lezennes,Lezennes,http://live.dbpedia.org/resource/Lezennes,3.098621,50.620383
735,008722326,Lille-Europe,Lille-Europe,Lille-Europe,http://live.dbpedia.org/resource/Lille-Europe,3.075846,50.638819
737,008728600,Lille Flandres,Lille Flandres,Lille Flandres,http://live.dbpedia.org/resource/Lille_Flandres,3.07139,50.636164
