FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.1,1,POINT (16.303415260266803 48.18773216500493),Hietzing,Hietzing,"156B, 56B, 58B",
OEFFHALTESTOGD.2,2,POINT (16.28331591646779 48.134855639503755),Liesing,Liesing,"207, 253, 255, 256, 257, 259, 264, 354, 60A, 62A, 64A, 66A",
OEFFHALTESTOGD.3,3,POINT (16.297113436109104 48.141188803711756),Carlbergergasse,Carlbergerg.,"60A, 66A",
OEFFHALTESTOGD.4,4,POINT (16.286509176848185 48.173715448260666),Speising,Speising,"156B, 56B",
OEFFHALTESTOGD.5,5,POINT (16.33426602448889 48.17476261895152),Philadelphiabrücke bzw. Meidling (ÖBB),Philadelphiabr. bzw. Meidling (ÖBB),"500, 511, 512, S1, S15, S2, S3, S60, S80",
OEFFHALTESTOGD.6,6,POINT (16.27650778462069 48.192075495671475),Ober Sankt Veit,Ober St. Veit,"47A, 54B, 55B",
OEFFHALTESTOGD.7,7,POINT (16.31194339401551 48.17194870670503),Edelsinnstraße,Edelsinnstr.,"63A, 8A",
OEFFHALTESTOGD.8,8,POINT (16.260919977448552 48.197290866010256),Hütteldorf,Hütteldorf,"100, S1, S15, S2, S3, S50, S60",
OEFFHALTESTOGD.9,9,POINT (16.31315401511329 48.13672555282921),Perfektastraße,Perfektastr.,"255, 266",
OEFFHALTESTOGD.10,10,POINT (16.33124370113115 48.174376943557355),Philadelphiabrücke bzw. Meidling (ÖBB),Philadelphiabr. bzw. Meidling (ÖBB),"62A, 7A, 8A",
OEFFHALTESTOGD.11,11,POINT (16.316262058940904 48.16534537421621),Breitenfurter Straße/Altmannsdorfer Straße,Breitenfurter Str./Altmannsdorfer Str.,"62, 62A",
OEFFHALTESTOGD.12,12,POINT (16.3265374397101 48.21410499577627),Teichgasse,Teichg.,"44, 9",
OEFFHALTESTOGD.13,13,POINT (16.313304626110096 48.17417004351609),Gaßmannstraße,Gaßmannstr.,"63A, 8A",
OEFFHALTESTOGD.14,14,POINT (16.327398802318363 48.17229252428122),Wienerbergbrücke,Wienerbergbr.,"15A, 62, 62A, 7A",
OEFFHALTESTOGD.15,15,POINT (16.281219602137252 48.132347764094725),Liesing Bad,Liesing Bad,"255, 256, 257, 264",
OEFFHALTESTOGD.16,16,POINT (16.297926382338833 48.14371367094826),Atzgersdorf Friedhof,Atzgersdorf Friedh.,"260, 60A, 66A",
OEFFHALTESTOGD.17,17,POINT (16.313169668155922 48.18811912908013),Schloß Schönbrunn,Schloß Schönbrunn,"10, 58",
OEFFHALTESTOGD.18,18,POINT (16.209585401920506 48.224276625923785),Vorderhainbach,Vorderhainbach,"249, 250, 449",
OEFFHALTESTOGD.19,19,POINT (16.320335759465177 48.19003407288264),Winckelmannstraße,Winckelmannstr.,"52, 58",
OEFFHALTESTOGD.20,20,POINT (16.31549874653893 48.16433855352438),Breitenfurter Straße/Altmannsdorfer Straße,Breitenfurter Str./Altmannsdorfer Str.,"16A, 64A",
OEFFHALTESTOGD.21,21,POINT (16.255096436273643 48.20269324798409),Hütteldorf Bujattigasse,Hütteldorf Bujattig.,"150, 249, 250, 350, 351, 447, 449, 49A, 49B, 50B, 547",
OEFFHALTESTOGD.22,22,POINT (16.29164741166761 48.16238207976236),Am Rosenhügel,Am Rosenhügel,"260, 56B, 58B",
OEFFHALTESTOGD.23,23,POINT (16.31480537598713 48.18988591548011),Penzinger Straße,Penzinger Str.,"10, 58",
OEFFHALTESTOGD.24,24,POINT (16.297856325830644 48.12947916951439),Siebenhirten Brunner Straße,Siebenhirten Brunner Str.,"207, 260, 270",
OEFFHALTESTOGD.25,25,POINT (16.334554496971375 48.23709521784563),Dänenstraße,Dänenstr.,"10A, 37A, 40A",
OEFFHALTESTOGD.26,26,POINT (16.30830878759075 48.22614996890783),Güpferlingstraße,Güpferlingstr.,"43, 44B",
OEFFHALTESTOGD.27,27,POINT (16.28856257163084 48.14229667914498),Steinergasse,Steinerg.,"60A, 66A",
OEFFHALTESTOGD.28,28,POINT (16.291201337875055 48.141819127987404),Leopoldigasse,Leopoldig.,"60A, 66A",
OEFFHALTESTOGD.29,29,POINT (16.33096310811372 48.174455341829336),Philadelphiabrücke bzw. Meidling (ÖBB),Philadelphiabr. bzw. Meidling (ÖBB),"62, WLB",
OEFFHALTESTOGD.30,30,POINT (16.29719956035354 48.25175367732491),Celtesgasse,Celtesg.,"35A, 43B",
